HOUR,TOTALLOAD,WIND,SOLAR,PRICE
119,38883.68913,6472.024992,0.0,29.36
120,37837.62232,6724.400461000001,0.0,21.99
121,37428.1359,6956.328836,0.0,20.83
122,37414.01665,6859.783686999999,0.0,20.68
123,37853.34445,5919.372492999999,0.0,21.4
124,38639.87148,4623.373199000001,0.0,24.03
125,40016.58011,4166.75665,0.0,25.08
126,41748.49881,4180.496154,0.0,29.63
127,43146.73608,4351.571177,1.952381,31.61
128,43483.4218,4439.572117,156.214965,31.53
129,42553.43664,3068.709108,640.930089,31.65
130,40980.58113,2236.463964,755.51543,25.33
131,38977.50433,2650.945613,750.242138,23.68
132,37140.55578,3987.946864,745.8051849999999,22.47
133,35650.1544,5597.317472000001,668.635962,20.4
134,34549.70962,7416.495602999999,604.65171,19.89
135,34081.88021,9284.933505,514.517349,19.94
136,34222.60716,10442.678638,431.560115,19.42
137,35722.84421,10501.915535,105.844678,22.61
138,37665.10452,12904.028407,0.002238,21.41
139,37790.3732,14732.02112,0.0,20.0
140,37489.80535,15514.790794,0.0,18.04
141,36921.36089,15722.888721,0.0,17.24
142,35772.33256,15694.562457,0.0,15.44
143,34314.16871,15117.220384,0.0,13.09
144,33025.92558,14697.665454,0.0,12.08
145,32160.06596,14659.464916,0.0,6.69
146,31691.97381,14668.246404,0.0,5.24
147,31482.43173,14561.119653,0.0,7.6
148,31627.50626,14511.109957,0.0,8.79
149,32268.09504,14809.397409,0.0,13.15
150,33236.48042,15059.196968,0.0,16.66
151,34334.27755,15304.436434,0.042866,16.44
152,35387.75925,15119.43595,13.193423,16.82
153,36224.75815,14090.007659,55.417864,18.04
154,36391.59461,13766.434141,80.491584,18.34
155,36165.84842,13722.384653,126.37839,17.71
156,35910.39392,13090.185106,383.088254,17.82
157,35726.6597,12992.916588,484.283282,18.26
158,35382.24193,12544.917617,541.103464,17.89
159,35290.91319,13435.164196999998,552.646587,19.01
160,35677.94918,14172.946719,419.021802,18.84
161,37006.1932,13355.214319,72.82473,22.64
162,38085.31071,11323.70223,0.0,28.72
163,37896.02501,10532.3916,0.0,22.41
164,37102.95288,9586.129801,0.0,21.67
165,35880.20509,9752.138331,0.0,20.34
166,33992.68481,9606.541761,0.0,17.72
167,32063.40493,8292.860591999999,0.0,17.57
168,30767.00713,7120.259206,0.0,16.84
169,30231.16514,6648.486934,0.0,15.46
170,30174.98405,6747.442977,0.0,15.23
171,30740.03942,7276.268120000001,0.0,15.84
172,32168.56298,7471.948057,0.0,17.65
173,35067.3995,7149.8946160000005,0.0,19.5
174,39207.62656,6856.550379,0.0,24.91
175,41073.71894,6515.439887,3.004373,27.09
176,40585.97354,5097.566812,244.519989,25.61
177,39819.44715,3557.522433,815.149064,30.88
178,39118.99291,3315.531717,924.345968,27.28
179,38234.79403,3078.649135,906.949426,22.42
180,37366.94861,2983.151514,928.463956,20.98
181,36734.87251,3168.731514,940.036897,20.44
182,36117.40406,3248.496413,929.234679,19.94
183,35640.16887,3276.238725,895.775878,19.97
184,35707.56148,3296.890217,561.936212,22.56
185,36933.05668,3435.3069720000003,84.038278,34.0
186,39412.75163,4431.097796,0.004253,37.58
187,39807.75954,5157.235398000001,0.0,27.78
188,39607.12866,6152.549824,0.0,25.18
189,38758.37236,7243.358739,0.0,23.83
190,36941.68713,7703.930295,0.0,20.78
191,35287.54156,8055.924782,0.0,19.02
192,34135.07727,8620.805938000001,0.0,16.46
193,33894.16924,9263.848735,0.0,15.76
194,34182.46582,10432.127688,0.0,14.94
195,34877.71164,11395.657852,0.0,14.75
196,36465.8104,11950.823675,0.0,15.87
197,39634.21647,12100.239791,0.0,19.02
198,44226.26622,12097.21147,0.0,28.39
199,45808.56793,12338.019696,3.052666,29.45
200,44682.16729,11829.044805,231.5095,23.05
